Wavelength 	             Flux
1.615227999999999838e+03 0.000000000000000000e+00
1.617241999999999734e+03 0.000000000000000000e+00
1.619255999999999858e+03 5.274294940704955456e-03
1.621269999999999754e+03 6.435261396889653367e-03
1.623283999999999878e+03 1.298345191525872126e-02
1.625297999999999774e+03 5.040678558912790007e-03
1.627311999999999898e+03 0.000000000000000000e+00
1.629325999999999794e+03 6.150321942815378112e-03
1.631339999999999918e+03 0.000000000000000000e+00
1.633353999999999814e+03 0.000000000000000000e+00
1.635367999999999938e+03 1.410415868057453758e-03
1.637381999999999834e+03 0.000000000000000000e+00
1.639395999999999731e+03 3.631139498261944966e-03
1.641409999999999854e+03 0.000000000000000000e+00
1.643423999999999751e+03 2.210293753619075024e-03
1.645437999999999874e+03 9.442159927793323387e-03
1.647451999999999771e+03 5.543167243349234746e-03
1.649465999999999894e+03 3.902550410832161983e-03
1.651479999999999791e+03 6.912823043536130444e-04
1.653493999999999915e+03 3.067434966877207164e-03
1.655507999999999811e+03 3.970138030976120766e-03
1.657521999999999935e+03 0.000000000000000000e+00
1.659535999999999831e+03 1.919799655764714910e-03
1.661549999999999727e+03 8.905058008561967742e-04
1.663563999999999851e+03 0.000000000000000000e+00
1.665577999999999747e+03 2.428517804341304761e-03
1.667591999999999871e+03 0.000000000000000000e+00
1.669605999999999767e+03 0.000000000000000000e+00
1.671619999999999891e+03 0.000000000000000000e+00
1.673633999999999787e+03 0.000000000000000000e+00
1.675647999999999911e+03 3.838768410269764232e-04
1.677661999999999807e+03 3.218608499374709525e-03
1.679675999999999931e+03 0.000000000000000000e+00
1.681689999999999827e+03 1.848245744524893222e-03
1.683703999999999724e+03 6.658686614060507769e-03
1.685717999999999847e+03 7.402779349857177039e-03
1.687731999999999744e+03 2.156583561695939438e-03
1.689745999999999867e+03 3.983487538507100856e-03
1.691759999999999764e+03 4.199604497084654699e-03
1.693773999999999887e+03 3.388502558595505622e-03
1.695787999999999784e+03 4.370462585391251403e-03
1.697801999999999907e+03 3.484749386275887238e-03
1.699815999999999804e+03 4.016521601847177457e-03
1.701829999999999927e+03 3.748370025709902090e-03
1.703843999999999824e+03 3.064368436261425462e-03
1.705857999999999720e+03 3.066512253323656293e-03
1.707871999999999844e+03 1.909686531593204417e-03
1.709885999999999740e+03 0.000000000000000000e+00
1.711899999999999864e+03 3.175975460708883955e-03
1.713913999999999760e+03 2.198596867378035859e-03
1.715927999999999884e+03 2.549654944894099752e-03
1.717941999999999780e+03 4.251625342800291821e-03
1.719955999999999904e+03 1.397681502895507149e-03
1.721969999999999800e+03 2.068654927841602660e-03
